native_id	scan	ms_level	rt_min	precursor_ref	precursor_mz	signal_sha256	inside_requested_window
controllerType=0 controllerNumber=1 scan=18185	18185	2	48.279428	controllerType=0 controllerNumber=1 scan=18170	447.8683	354a2012e07264dfe07ec2d47bc58709fa3394ff09890fafc884743921ec0d60	True
controllerType=0 controllerNumber=1 scan=18186	18186	1	48.280499			174a4462171e2cdd980d4fef6e4ab1fd7d3512da9610a641158d226ffca8b303	True
controllerType=0 controllerNumber=1 scan=18187	18187	2	48.282628	controllerType=0 controllerNumber=1 scan=18186	454.732879638672	ce1723224ef1409a60a385a542c364447550d9825dfc22dc441a814c17dbf7e5	True
controllerType=0 controllerNumber=1 scan=18188	18188	2	48.283232	controllerType=0 controllerNumber=1 scan=18186	444.540832519531	f86143fd32f402bbc7bf5790a5c2663b36f954bd79cf4045f6b5e345fd44b39e	True
controllerType=0 controllerNumber=1 scan=18189	18189	2	48.283605	controllerType=0 controllerNumber=1 scan=18186	453.2326	d7ec9098eae5b28f4589fa51ab44c30db7fb7540fd4cd4cb44609fd5ef5b33f8	True
controllerType=0 controllerNumber=1 scan=18190	18190	2	48.284245	controllerType=0 controllerNumber=1 scan=18186	510.240478515625	db8cde32711b88183f251fec185c74c34fe76361aea22e920c1f0bc0959ea215	True
controllerType=0 controllerNumber=1 scan=18191	18191	2	48.28498	controllerType=0 controllerNumber=1 scan=18186	640.301513671875	f8a920bbf051cc7454817452bf4a40cf0e62a82626e184da8a7ad015be6a2b2f	True
controllerType=0 controllerNumber=1 scan=18192	18192	2	48.285714	controllerType=0 controllerNumber=1 scan=18186	541.787475585938	1151276842d12fd619aafd6eebe54983930d5de7b8f494d010bdf97af7d82967	True
controllerType=0 controllerNumber=1 scan=18193	18193	2	48.286451	controllerType=0 controllerNumber=1 scan=18186	450.91357421875	ee284328f3b6b1c39022a83d533621b214e90688111486cbd2f50533f7561681	True
controllerType=0 controllerNumber=1 scan=18194	18194	2	48.28718	controllerType=0 controllerNumber=1 scan=18186	415.21533203125	37ef6c9beb0e0f309365098d8b5a697af06c46df3f00de416b52d9e5d47b5094	True
controllerType=0 controllerNumber=1 scan=18195	18195	2	48.287914	controllerType=0 controllerNumber=1 scan=18186	569.820556640625	fd402121798337b9864265d6ae0fc675ae4be0574f504e994cffaa94c1794f73	True
controllerType=0 controllerNumber=1 scan=18196	18196	2	48.288651	controllerType=0 controllerNumber=1 scan=18186	654.349731445313	7dd1e98bcf93ed17dcdc0e750f35e014afbd7bf53428fa9e552241b7eaf20f9d	True
controllerType=0 controllerNumber=1 scan=18197	18197	2	48.289399	controllerType=0 controllerNumber=1 scan=18186	485.735	0761802a8b53f8d60e3e6a9824e8c4bc1ac486d46549be488dd1563439b52ae4	True
