sample	sample_group	study_group	n_peptides	n_features	intensity
S01	CAMPI_35ec0f4385a63d1b751b19adb864ca8c33d721fbaa66d99e081b509b5ed02dd5	CAMPI_35ec0f4385a63d1b751b19adb864ca8c33d721fbaa66d99e081b509b5ed02dd5	3	3	48701940.02610269
S01	CAMPI_36abe7006a3bbccaf68ea114d447194590ef498e6fea9b166879a286120976cb	CAMPI_36abe7006a3bbccaf68ea114d447194590ef498e6fea9b166879a286120976cb	1	1	41101242.51957806
S01	CAMPI_36e55c7a7288fe915a8ee8485fdc43d63824b123323ddc646e6b486237f21580	CAMPI_36e55c7a7288fe915a8ee8485fdc43d63824b123323ddc646e6b486237f21580	2	2	338855023.32082444
S01	CAMPI_38db2d7a768efe2c68f5efa3b6a7176a5bccb5be9cd7cc597d3d7c39816cdfbe	CAMPI_38db2d7a768efe2c68f5efa3b6a7176a5bccb5be9cd7cc597d3d7c39816cdfbe	1	1	35822874.26511996
S01	CAMPI_3907c09bd9750e3ada937d1a2021d7108a1f9ba9fa87ef7c469eb5680f75daa0	CAMPI_3907c09bd9750e3ada937d1a2021d7108a1f9ba9fa87ef7c469eb5680f75daa0	1	1	77166987.84671998
S01	CAMPI_3909133b77bccea0ca57684dee74da5f1377e93b0a569fd224c1bd7514a947c9	CAMPI_3909133b77bccea0ca57684dee74da5f1377e93b0a569fd224c1bd7514a947c9	3	3	59849487.091563046
S01	CAMPI_3939cbb72638613fa3f343c19914c42a2dd4d0af122cadd04f21d0c7abf5255c	CAMPI_3939cbb72638613fa3f343c19914c42a2dd4d0af122cadd04f21d0c7abf5255c	5	5	504640545.5455078
S01	CAMPI_397ccfcb461bd6ca611a8aa2b56bc45b6a83a82fd7a39514cf54b3e017e38f3f	CAMPI_397ccfcb461bd6ca611a8aa2b56bc45b6a83a82fd7a39514cf54b3e017e38f3f	1	1	12168962.980693443
S01	CAMPI_39be64ab9a115d59e68c29006ac3b3d12b0aa905d8bd8925be05065763550b7e	CAMPI_39be64ab9a115d59e68c29006ac3b3d12b0aa905d8bd8925be05065763550b7e	1	1	96923092.51133804
S01	CAMPI_3a9427811d33c4fd0d0c709ab4f42943d8c9ebae1eda71a4270d996ec1956384	CAMPI_3a9427811d33c4fd0d0c709ab4f42943d8c9ebae1eda71a4270d996ec1956384	2	2	39736066.67869297
S01	CAMPI_3b6ecac4c769cbbc2555653747945e8d7abcd2a395d46511164374ed419b6ee8	CAMPI_3b6ecac4c769cbbc2555653747945e8d7abcd2a395d46511164374ed419b6ee8	2	2	118787227.33500442
S01	CAMPI_3b7a554594b0a7d8e22ac57541010cbe4fcf9d8e480ca2dade0a35b70cabb120	CAMPI_3b7a554594b0a7d8e22ac57541010cbe4fcf9d8e480ca2dade0a35b70cabb120	1	1	6355409.766589054
S01	CAMPI_3c0c101c2b36ac09e5cbb2a698f2060e2cfc60df08f1400e68fc9c6273fb2d8d	CAMPI_3c0c101c2b36ac09e5cbb2a698f2060e2cfc60df08f1400e68fc9c6273fb2d8d	2	2	320289033.1145096
S01	CAMPI_3caf2811e800f1bad5773b2e27e55984291784468b7cd61164766516d7b52995	CAMPI_3caf2811e800f1bad5773b2e27e55984291784468b7cd61164766516d7b52995	2	2	15647592.65206026
S01	CAMPI_3cf0f48f6e912954d5a28fe434a613243806d39cdcb4218d9a4fdcf10b70f0f8	CAMPI_3cf0f48f6e912954d5a28fe434a613243806d39cdcb4218d9a4fdcf10b70f0f8	5	5	288186784.23496443
S01	CAMPI_3dcb1be587d5ce74405e8c13262a9a5fdaeef75e763700fbd4f5d24c861422e7	CAMPI_3dcb1be587d5ce74405e8c13262a9a5fdaeef75e763700fbd4f5d24c861422e7	3	3	168671443.91404593
S01	CAMPI_3f67d39ae1e266c6322fd66ae88d69b265afa9203e262e9b9544dd9e032d4f03	CAMPI_3f67d39ae1e266c6322fd66ae88d69b265afa9203e262e9b9544dd9e032d4f03	1	1	39549548.80485493
S01	CAMPI_40544c6fee0f15b6fe78d6ab7e5e27d8080224fe28dc0d6ca6f2e9a790dd24d4	CAMPI_40544c6fee0f15b6fe78d6ab7e5e27d8080224fe28dc0d6ca6f2e9a790dd24d4	4	4	203314722.66918597
S01	CAMPI_41048110ca53f91e8494c24a668dce1e6fa9c0731860937055e97507b7553211	CAMPI_41048110ca53f91e8494c24a668dce1e6fa9c0731860937055e97507b7553211	1	1	10758087.71541175
S01	CAMPI_427a9c2476c475ddd52e2c34117aff61006a9c1cc1efc2ed5e001064977b44c4	CAMPI_427a9c2476c475ddd52e2c34117aff61006a9c1cc1efc2ed5e001064977b44c4	3	3	71676115.5646403
S01	CAMPI_435df44e583618d0d8b4950cb96872cf07b5077b28d602e9dd5ebbee225985a1	CAMPI_435df44e583618d0d8b4950cb96872cf07b5077b28d602e9dd5ebbee225985a1	2	2	128748181.88839267
S01	CAMPI_4365414a9b1621aa3022c5c886d8f52458f4af4963dafcac75656de12ad53f49	CAMPI_4365414a9b1621aa3022c5c886d8f52458f4af4963dafcac75656de12ad53f49	3	3	161420806.5888346
S01	CAMPI_440483625471f3796a8bfabff0639a7b4c61e0ac4426a4ebf227b06dbc7a5f26	CAMPI_440483625471f3796a8bfabff0639a7b4c61e0ac4426a4ebf227b06dbc7a5f26	1	1	8304199.321559199
S01	CAMPI_445b164897306dd2d91aff99282050bd737e15e17fcb2a3d3a8dd00534b15aa3	CAMPI_445b164897306dd2d91aff99282050bd737e15e17fcb2a3d3a8dd00534b15aa3	1	1	8578245.828167526
S01	CAMPI_447450d0dff59c1a7a66c9eaae58aca4bb09c29ec91399155f25a885fe9ce59c	CAMPI_447450d0dff59c1a7a66c9eaae58aca4bb09c29ec91399155f25a885fe9ce59c	1	1	5667718.260060903
S01	CAMPI_44a88404561285b1e980ec0946c2a4a8e89317cf90192e190be6d27660dca4ca	CAMPI_44a88404561285b1e980ec0946c2a4a8e89317cf90192e190be6d27660dca4ca	4	4	393236936.34177136
S01	CAMPI_450657570244d009ea2aac4cec09ac0b7fe9c4ddb3cf66135a3355aa689fbcb6	CAMPI_450657570244d009ea2aac4cec09ac0b7fe9c4ddb3cf66135a3355aa689fbcb6	2	2	9806396.094877435
S01	CAMPI_47e1eb191e01640fcd5ffb59c5ffbebdb38ac1de239e5518a77de73698100c6b	CAMPI_47e1eb191e01640fcd5ffb59c5ffbebdb38ac1de239e5518a77de73698100c6b	1	1	5098636.928827962
S01	CAMPI_489057f8fd80dd12866b0ca9d74ce49d05ef9635b866975e786b4db0838fb06d	CAMPI_489057f8fd80dd12866b0ca9d74ce49d05ef9635b866975e786b4db0838fb06d	2	2	13329132.84205151
S01	CAMPI_48d6cb57974b936f0c5b18518183953cbe28db4c4829a5b0a9403dbf49b3f584	CAMPI_48d6cb57974b936f0c5b18518183953cbe28db4c4829a5b0a9403dbf49b3f584	1	1	25231193.782271035
S01	CAMPI_4901c7d517cca3efd0891ba501ca0d4c22b3f770b06f1e87e6b87261482932db	CAMPI_4901c7d517cca3efd0891ba501ca0d4c22b3f770b06f1e87e6b87261482932db	1	1	65060114.73074022
S01	CAMPI_492044cf6e7fc60939a0965c3da837459782f29562977079137d02eab005da08	CAMPI_492044cf6e7fc60939a0965c3da837459782f29562977079137d02eab005da08	1	1	52182002.08134885
S01	CAMPI_49a64e09d54650f6e7e764e4947d71357bc74e80519d8c3e49ded3fae53e92af	CAMPI_49a64e09d54650f6e7e764e4947d71357bc74e80519d8c3e49ded3fae53e92af	2	2	87497746.57750122
S01	CAMPI_4ad347bfe64cdc2c2d7c5572871bb4e5132039823dce386f7d5ea7506688f292	CAMPI_4ad347bfe64cdc2c2d7c5572871bb4e5132039823dce386f7d5ea7506688f292	1	1	14796912.266766744
S01	CAMPI_4ae5c49edac52a6a4c737effb520b824e0670811139a11c01a5b5597ef12a5d0	CAMPI_4ae5c49edac52a6a4c737effb520b824e0670811139a11c01a5b5597ef12a5d0	3	3	644486579.2582927
S01	CAMPI_4be0b1d2462a2711eb60b0c83cb0b56807aa36b0b8d6b37478584a58ac34eef7	CAMPI_4be0b1d2462a2711eb60b0c83cb0b56807aa36b0b8d6b37478584a58ac34eef7	1	1	67244540.86299317
S01	CAMPI_4da45de5146d8e58bff5fe847b0355ed37ff6faf43a87eaa53b73ec7697ba72c	CAMPI_4da45de5146d8e58bff5fe847b0355ed37ff6faf43a87eaa53b73ec7697ba72c	2	2	164410901.60949352
S01	CAMPI_4dced630955ee41b54d6c56deead68ce86f70362f9d8203120f08344a877689d	CAMPI_4dced630955ee41b54d6c56deead68ce86f70362f9d8203120f08344a877689d	1	1	65180793.3825388
